Gene	Celltype
SLC1A7	TypeMIA
KLK7	TypeMIA
MROH6	TypeMIA
COL11A1	TypeMIA
AMOT	TypeMIA
IFI44	TypeMIA
ADAM12	TypeMIA
MUC3A	TypeMIA
EEF1A2	TypeMIA
SSC4D	TypeMIA
RNF19A	TypeMIA
GPR87	TypeMIA
MACC1	TypeMIA
ZNF267	TypeMIA
CDC42EP3	TypeMIA
IFI44L	TypeMIA
SMC6	TypeMIA
SYT8	TypeMIA
VMP1	TypeMIA
FAM83F	TypeMIA
IKZF2	TypeMIA
GPR1	TypeMIA
NDC80	TypeMIA
CFAP298-TCP10L	TypeMIA
ATP6V1C2	TypeMIA
C7orf57	TypeMIA
GCM1	TypeMIA
MYO3B	TypeMIA
FMR1	TypeMIA
DMBX1	TypeMIA
RSAD2	TypeMIA
EEA1	TypeMIA
PCP4L1	TypeMIA
FNDC1	TypeMIA
TMEM67	TypeMIA
MXRA5	TypeMIA
C12orf56	TypeMIA
ARHGAP39	TypeMIA
CMPK2	TypeMIA
MYH15	TypeMIA
IFT57	TypeMIA
KRT80	TypeMIA
HOXA10	TypeMIA
SP140L	TypeMIA
TNNI2	TypeMIA
CENPI	TypeMIA
RAD51B	TypeMIA
DDX60L	TypeMIA
PARP10	TypeMIA
CCDC114	TypeMIA
TNIP3	TypeMIA
ZNF92	TypeMIA
RECQL4	TypeMIA
BMP8A	TypeMIA
C1QTNF6	TypeMIA
OAS3	TypeMIA
GREM1	TypeMIA
CCSER1	TypeMIA
CCDC144A	TypeMIA
CELSR3	TypeMIA
PGM2L1	TypeMIA
DNAH3	TypeMIA
OAS1	TypeMIA
PODNL1	TypeMIA
CENPE	TypeMIA
KIAA1841	TypeMIA
PLEKHN1	TypeMIA
RNF213	TypeMIA
CIP2A	TypeMIA
ADAMTS14	TypeMIA
LDAH	TypeMIA
MMP11	TypeMIA
ASPM	TypeMIA
DCP2	TypeMIA
ERBIN	TypeMIA
HHLA2	TypeMIA
IVL	TypeMIA
TP53INP1	TypeMIA
CENPF	TypeMIA
MDM2	TypeMIA
TNFAIP6	TypeMIA
SP100	TypeMIA
MST1L	TypeMIA
MTOR	TypeMIA
ZDHHC23	TypeMIA
SAMD9	TypeMIA
POLQ	TypeMIA
EGFR	TypeMIA
N4BP2	TypeMIA
MS4A15	TypeMIA
PHF20L1	TypeMIA
TONSL	TypeMIA
UPF3B	TypeMIA
GRAMD2B	TypeMIA
COL1A1	TypeMIA
NOM1	TypeMIA
RINT1	TypeMIA
SLC24A2	TypeMIA
ZNF217	TypeMIA
SPOCK1	TypeMIA
YEATS2	TypeMIA
TUBB3	TypeMIA
RBM41	TypeMIA
CFAP54	TypeMIA
KIF18B	TypeMIA
TUBA4B	TypeMIA
ZNF138	TypeMIA
LGR4	TypeMIA
FAM185A	TypeMIA
NUP62CL	TypeMIA
PTK2	TypeMIA
SRSF10	TypeMIA
LRRC15	TypeMIA
ILDR2	TypeMIA
SP110	TypeMIA
DNAJC2	TypeMIA
ZBED8	TypeMIA
NIPAL2	TypeMIA
BRCA2	TypeMIA
TOGARAM2	TypeMIA
ATAD2B	TypeMIA
LEKR1	TypeMIA
RMI1	TypeMIA
COL3A1	TypeMIA
CDC42BPG	TypeMIA
COL5A2	TypeMIA
MAP3K13	TypeMIA
NUF2	TypeMIA
ZNF382	TypeMIA
XAF1	TypeMIA
IL22RA1	TypeMIA
